Product Link,Image URL,Product Name,Product Price,Rating,Number of Ratings,Specifications
https://www.daraz.com.np/products/dell-vostro-3520-i5-12th-gen-16gb-ram-512gb-ssd-156-120hz-fhd-black-i129411877.html,https://img.drz.lazcdn.com/static/np/p/12f269cac9ccb49bc9dee129eef85f25.jpg_720x720q80.jpg_.webp,"Dell Vostro 3520 i5 12th Gen | 16GB RAM | 512GB SSD | 15.6"" 120Hz FHD | Black","Rs. 71,999",4.5,24 Ratings,Brand: No Brand; SKU: 129411877_NP-1037407894; Wireless Connectivity: WIFI + Bluetooth; Display Size: 15.6 Inch; Operating System: DOS; CPU Cores: Not Specified; Ram Memory: 16GB; Model No.: Vostro 3520; Touch Pad: Yes; Storage Capacity: 512GB; Processor: Intel Core i5; Storage Type: SSD; Touch: No; Generation: 12th
https://www.daraz.com.np/products/dell-vostro-3520-i3-12th-gen-16gb-ram-512gb-ssd-156-120hz-fhd-display-laptop-i129017788.html,https://img.drz.lazcdn.com/static/np/p/7cbe0fe6b4ddc40fdb753bdba2f29980.jpg_720x720q80.jpg_.webp,"Dell Vostro 3520 i3 12th Gen | 16GB RAM | 512GB SSD | 15.6"" 120Hz FHD Display Laptop","Rs. 55,999",4.8,16 Ratings,Brand: No Brand; SKU: 129017788_NP-1037011250; Ram Memory: 16GB; Operating System: DOS; Generation: 12th; CPU Cores: Not Specified; Storage Capacity: 512GB; Display Size: 15.6 Inch; Processor: Intel Core i3
https://www.daraz.com.np/products/dell-vostro-3520-i3-12th-gen-8gb-ram512gb-ssd156-display-i118372728.html,https://img.drz.lazcdn.com/static/np/p/8ea221d202574391775104cde81ef499.jpg_720x720q80.jpg_.webp,Dell Vostro 3520 I3-12th gen 8GB RAM/512GB SSD/15.6 Display,"Rs. 58,000",4.0,24 Ratings,Brand: No Brand; SKU: 118372728_NP-1032434216; Display Size: 15.6 Inch; Operating System: Windows; CPU Cores: Quad Core; Ram Memory: 8GB; Storage Capacity: 512GB; Processor: Intel Core i3; Generation: 12th
https://www.daraz.com.np/products/lenovo-v15-celeron-4gb-ram-256gb-ssd156-inch-hd-display-i117911554.html,https://img.drz.lazcdn.com/static/np/p/da3457614406a37b9ba9158695f663d6.jpg_720x720q80.jpg_.webp,"Lenovo V15 celeron 4GB RAM 256GB SSD,15.6 inch HD Display","Rs. 33,998",4.4,23 Ratings,Brand: No Brand; SKU: 117911554_NP-1032329631; Ram Memory: 4GB; Operating System: Windows; Generation: Not Specified; CPU Cores: Dual Core; Storage Capacity: 256GB; Display Size: 15.6 Inch; Processor: Intel Celeron
https://www.daraz.com.np/products/lenovo-ideapad-1-15lgl7-11thgen-intel-celeron-n4020-8gb-ddr4-ram-256gb-ssd-156-hd-display-i129279800.html,https://img.drz.lazcdn.com/static/np/p/4a09c6550e0989e7844d1f38505395ef.jpg_720x720q80.jpg_.webp,"Lenovo Ideapad 1 15lGL7 11thGen Intel Celeron N4020 8GB DDR4 RAM 256GB SSD 15.6""' HD Display","Rs. 36,497",5.0,3 Ratings,Brand: No Brand; SKU: 129279800_NP-1037302130; Display Size: 15.6 Inch; Operating System: Windows; CPU Cores: Dual Core; Ram Memory: 8GB; Model No.: Lenovo Ideapad 1; Storage Capacity: 256GB; Processor: Intel Celeron; Generation: Not Specified
https://www.daraz.com.np/products/dell-vostro-3520-i5-12th-gen-8gb-ram-256gb-ssd-156-120hz-fhd-black-i128524301.html,https://img.drz.lazcdn.com/static/np/p/be5ecea293e22b1679b2f5b5265b7d0f.jpg_720x720q80.jpg_.webp,"Dell Vostro 3520 i5 12th Gen | 8GB RAM | 256GB SSD | 15.6"" 120Hz FHD | Black","Rs. 66,999",5.0,8 Ratings,Brand: No Brand; SKU: 128524301_NP-1036048549; Ram Memory: 8GB; Operating System: DOS; Generation: 12th; CPU Cores: Not Specified; Storage Capacity: 256GB; Display Size: 15.6 Inch; Processor: Intel Core i5
https://www.daraz.com.np/products/lenovo-ideapad-slim-3i-2023-15-i3-13th-gen-8gb-ram-256gb-156-fhd-display-i128155035.html,https://img.drz.lazcdn.com/static/np/p/fb998e67a12f9484b9261c29250279a4.jpg_720x720q80.jpg_.webp,"Lenovo IdeaPad Slim 3i 2023 15 i3 13Th Gen / 8GB RAM / 256GB / 15.6"" FHD display","Rs. 51,996",3.0,2 Ratings,Brand: No Brand; SKU: 128155035_NP-1035244616; Display Size: 14 Inch; Operating System: Windows; CPU Cores: Not Specified; Ram Memory: 8GB; Storage Capacity: 256GB; Processor: Intel Core i3; Generation: 13th
https://www.daraz.com.np/products/dell-vostro-3520-core-i5-12th-gen-16gb-ram512-gb-ssd156-fhdwin-11-i129919581.html,https://img.drz.lazcdn.com/static/np/p/aa83c6854a930dc4d193523a6cebfd14.jpg_720x720q80.jpg_.webp,"Dell Vostro 3520 Core i5 12th Gen/ 16GB RAM/512 GB SSD/15.6"" FHD/Win 11","Rs. 69,490",4.3,3 Ratings,
https://www.daraz.com.np/products/acer-swift-go-14-intel-evo-i5-13th-gen-13500h-16gb-ddr5-ram-512gb-nvme-ssd-intel-integrated-graphics-14inch-28k-oled-2880-x-1800-400nits-display-backlit-keyboard-silver-i128946946.html,https://img.drz.lazcdn.com/static/np/p/07f729936a661cce541613f92f8aa8b6.png_720x720q80.png_.webp,Acer Swift Go 14 Intel Evo i5 13th Gen 13500H – 16GB DDR5 RAM – 512GB NVMe SSD – Intel Integrated Graphics – 14inch 2.8K OLED ( 2880 x 1800 ) 400nits Display – Backlit Keyboard - Silver,"Rs. 104,999",4.8,5 Ratings,
https://www.daraz.com.np/products/dell-latitude-e5400-i5-8th-gen-8-gb-ram-256-gb-ssd-14-screen-i129314954.html,https://img.drz.lazcdn.com/static/np/p/135328fd4e4b7f3ba21f273ef426a175.jpg_720x720q80.jpg_.webp,"Dell Latitude E5400 I5-8th Gen | 8 GB RAM | 256 GB SSD | 14"" Screen","Rs. 45,499",5.0,1 Ratings,Brand: No Brand; SKU: 129314954_NP-1037338595; Display Size: 14 Inch; Operating System: Windows 10; CPU Cores: Quad Core; Ram Memory: 8GB; Storage Capacity: 256GB; Processor: Intel Core i5; Generation: 8th
